OrderID,OrderDate,CustomerID,TotalAmount,Status
102,2023-04-12,87,347.71,Pending
103,2023-04-13,48,8376.08,Cancelled
104,2023-04-14,30,5154.98,Pending
105,2023-04-15,45,8543.29,Completed
106,2023-04-16,39,1609.23,Pending
107,2023-04-17,38,9624.55,Cancelled
108,2023-04-18,75,8757.71,Cancelled
109,2023-04-19,78,8279.51,Completed
110,2023-04-20,84,589.36,Pending
111,2023-04-21,81,814.61,Cancelled
112,2023-04-22,14,1167.34,Pending
113,2023-04-23,73,5315.1,Cancelled
114,2023-04-24,89,9997.83,Completed
115,2023-04-25,98,9665.24,Completed
116,2023-04-26,71,802.71,Completed
117,2023-04-27,1,2667.95,Completed
118,2023-04-28,79,4370.2,Completed
119,2023-04-29,97,3452.39,Cancelled
120,2023-04-30,3,6781.99,Cancelled
121,2023-05-01,85,2739.84,Cancelled
122,2023-05-02,38,7330.83,Completed
123,2023-05-03,53,4010.28,Cancelled
124,2023-05-04,71,2217.52,Completed
125,2023-05-05,46,9750.35,Cancelled
126,2023-05-06,55,2863.41,Pending
127,2023-05-07,88,396.2,Pending
128,2023-05-08,45,8256.23,Completed
129,2023-05-09,29,4608.84,Pending
130,2023-05-10,16,2266.32,Cancelled
131,2023-05-11,83,418.96,Cancelled
132,2023-05-12,88,5229.34,Pending
133,2023-05-13,14,2790.79,Cancelled
134,2023-05-14,72,2463.12,Completed
135,2023-05-15,47,4798.57,Pending
136,2023-05-16,54,8702.7,Pending
137,2023-05-17,14,7993.46,Pending
138,2023-05-18,46,5113.35,Cancelled
139,2023-05-19,57,2391.03,Cancelled
140,2023-05-20,37,9438.63,Pending
141,2023-05-21,93,3554.76,Pending
142,2023-05-22,9,1626.29,Cancelled
143,2023-05-23,78,6322.54,Completed
144,2023-05-24,57,529.28,Cancelled
145,2023-05-25,39,5480.52,Pending
146,2023-05-26,29,905.83,Completed
147,2023-05-27,4,8638.46,Cancelled
148,2023-05-28,93,2781.8,Completed
149,2023-05-29,99,7354.23,Cancelled
150,2023-05-30,95,9987.73,Cancelled
151,2023-05-31,55,5636.61,Cancelled
152,2023-06-01,18,4896.26,Completed
153,2023-06-02,55,8764.61,Completed
154,2023-06-03,93,3898.59,Pending
155,2023-06-04,72,2599.61,Pending
156,2023-06-05,64,4110.48,Pending
157,2023-06-06,95,1890.25,Cancelled
158,2023-06-07,13,7774.73,Cancelled
159,2023-06-08,7,1461.11,Completed
160,2023-06-09,56,4320.8,Cancelled
161,2023-06-10,68,4880.22,Completed
162,2023-06-11,29,2424.67,Pending
163,2023-06-12,88,7810.86,Completed
164,2023-06-13,8,5247.22,Completed
165,2023-06-14,51,6928.81,Completed
166,2023-06-15,50,3989.53,Pending
167,2023-06-16,41,991.57,Cancelled
168,2023-06-17,68,2355.44,Pending
169,2023-06-18,54,3895.21,Cancelled
170,2023-06-19,30,1470.39,Pending
171,2023-06-20,30,8297.64,Pending
172,2023-06-21,40,2942.66,Pending
173,2023-06-22,21,9844.01,Pending
174,2023-06-23,85,1907.59,Cancelled
175,2023-06-24,86,9533.22,Pending
176,2023-06-25,28,1618.64,Completed
177,2023-06-26,34,3392.49,Cancelled
178,2023-06-27,92,6590.0,Completed
179,2023-06-28,17,613.24,Pending
180,2023-06-29,3,8849.68,Cancelled
181,2023-06-30,22,6781.74,Cancelled
182,2023-07-01,61,5562.19,Cancelled
183,2023-07-02,53,7005.86,Cancelled
184,2023-07-03,51,1984.94,Cancelled
185,2023-07-04,12,5638.78,Completed
186,2023-07-05,39,7196.77,Completed
187,2023-07-06,84,4466.74,Pending
188,2023-07-07,35,141.43,Cancelled
189,2023-07-08,32,8840.35,Pending
190,2023-07-09,98,163.5,Pending
191,2023-07-10,27,5203.83,Cancelled
192,2023-07-11,27,4022.76,Cancelled
193,2023-07-12,50,8809.87,Cancelled
194,2023-07-13,67,728.23,Completed
195,2023-07-14,88,8233.2,Completed
196,2023-07-15,57,4373.75,Cancelled
197,2023-07-16,73,860.26,Pending
198,2023-07-17,29,6733.48,Cancelled
199,2023-07-18,61,7301.14,Completed
200,2023-07-19,56,6367.22,Completed
201,2023-07-20,7,5854.25,Cancelled
202,2023-07-21,11,4374.62,Cancelled
203,2023-07-22,94,3465.02,Pending
204,2023-07-23,26,145.16,Completed
205,2023-07-24,45,9584.32,Cancelled
206,2023-07-25,59,1596.43,Pending
207,2023-07-26,96,6919.2,Pending
208,2023-07-27,10,5747.14,Cancelled
209,2023-07-28,51,2215.69,Pending
210,2023-07-29,100,1475.52,Pending
211,2023-07-30,55,366.53,Completed
212,2023-07-31,41,6111.57,Completed
213,2023-08-01,10,2868.12,Pending
214,2023-08-02,53,8861.04,Pending
215,2023-08-03,98,3348.28,Completed
216,2023-08-04,67,5298.83,Cancelled
217,2023-08-05,62,6375.5,Cancelled
218,2023-08-06,10,102.21,Pending
219,2023-08-07,61,7980.84,Pending
220,2023-08-08,85,8421.1,Completed
221,2023-08-09,72,4665.13,Pending
222,2023-08-10,86,4555.53,Cancelled
223,2023-08-11,49,3961.23,Completed
224,2023-08-12,38,4190.78,Pending
225,2023-08-13,94,6548.94,Completed
226,2023-08-14,35,985.23,Cancelled
227,2023-08-15,82,7553.63,Pending
228,2023-08-16,59,2573.16,Cancelled
229,2023-08-17,45,2322.38,Cancelled
230,2023-08-18,64,3482.11,Completed
231,2023-08-19,100,3276.1,Completed
232,2023-08-20,13,973.35,Pending
233,2023-08-21,93,2639.63,Completed
234,2023-08-22,62,7345.45,Pending
235,2023-08-23,2,746.79,Completed
236,2023-08-24,78,7590.05,Completed
237,2023-08-25,22,5632.19,Cancelled
238,2023-08-26,84,1212.22,Completed
239,2023-08-27,8,9440.92,Pending
240,2023-08-28,86,407.94,Pending
241,2023-08-29,64,7809.68,Completed
242,2023-08-30,68,4173.55,Pending
243,2023-08-31,76,860.62,Completed
244,2023-09-01,85,9426.5,Completed
245,2023-09-02,92,2681.44,Pending
246,2023-09-03,65,6646.05,Cancelled
247,2023-09-04,50,305.52,Pending
248,2023-09-05,23,2949.42,Pending
249,2023-09-06,88,6772.4,Completed
250,2023-09-07,87,8915.24,Pending
251,2023-09-08,81,8747.59,Pending
252,2023-09-09,74,8335.51,Cancelled
253,2023-09-10,25,4992.45,Completed
,2023-09-11,36,3408.13,Completed
255,2023-09-12,36,4725.72,Pending
256,2023-09-13,49,8979.25,Cancelled
257,2023-09-14,11,1542.78,Completed
258,2023-09-15,31,3938.06,Completed
,2023-09-16,62,7761.83,Pending
260,2023-09-17,52,6160.65,Completed
261,2023-09-18,48,4336.27,Completed
262,2023-09-19,88,8457.71,Cancelled
263,2023-09-20,,7769.61,Pending
264,2023-09-21,,3706.45,Completed
265,2023-09-22,11,981.06,Pending
266,2023-09-23,57,8767.37,Completed
267,2023-09-24,99,2046.34,Cancelled
268,2023-09-25,53,8853.45,Pending
269,2023-09-26,8,4532.76,Pending
270,2023-09-27,2,735.62,Cancelled
271,2023-09-28,3,4433.27,Cancelled
272,2023-09-29,88,8899.67,Pending
273,2023-09-30,21,2588.31,Pending
274,2023-10-01,51,5074.29,Completed
275,2023-10-02,59,3847.9,Completed
276,2023-10-03,68,106.65,Pending
277,2023-10-04,64,8948.71,Pending
278,2023-10-05,12,1422.81,Completed
279,2023-10-06,77,9484.51,Cancelled
280,2023-10-07,76,859.18,Pending
281,2023-10-08,36,3607.75,Cancelled
282,2023-10-09,12,1542.32,Completed
283,2023-10-10,44,3668.21,Pending
284,2023-10-11,84,611.5,Pending
285,2023-10-12,19,9613.53,Pending
286,2023-10-13,55,189.54,Cancelled
287,2023-10-14,20,6694.23,Cancelled
288,2023-10-15,48,3181.99,Completed
289,2023-10-16,78,5418.52,Pending
290,2023-10-17,72,6342.58,Cancelled
291,2023-10-18,26,4781.49,Pending
292,2023-10-19,64,1197.98,Cancelled
293,2023-10-20,76,8370.43,Pending
294,2023-10-21,30,1624.83,Completed
295,2023-10-22,17,9379.34,Cancelled
296,2023-10-23,37,3171.56,Completed
297,2023-10-24,9,7368.66,Pending
298,2023-10-25,28,547.74,Cancelled
299,2023-10-26,54,7306.86,Cancelled
300,2023-10-27,46,8839.71,Cancelled
301,2023-10-28,10,1500.35,Cancelled
302,2023-10-29,51,4607.64,Cancelled
303,2023-10-30,82,7441.11,Cancelled
304,2023-10-31,36,4844.82,Completed
305,2023-11-01,69,8829.54,Cancelled
306,2023-11-02,1,1651.09,Cancelled
307,2023-11-03,54,7947.19,Cancelled
308,2023-11-04,63,4896.79,Cancelled
309,2023-11-05,62,1206.32,Pending
310,2023-11-06,4,9625.86,Completed
311,2023-11-07,99,3633.85,Cancelled
312,2023-11-08,71,8005.26,Cancelled
313,2023-11-09,5,2382.19,Cancelled
314,2023-11-10,55,955.12,Pending
315,2023-11-11,39,5718.0,Cancelled
316,2023-11-12,62,8202.48,Completed
317,2023-11-13,77,8709.58,Cancelled
318,2023-11-14,83,6002.34,Pending
319,2023-11-15,87,1238.55,Pending
320,2023-11-16,91,523.1,Completed
321,2023-11-17,27,149.48,Completed
322,2023-11-18,85,5947.98,Pending
323,2023-11-19,14,3394.59,Completed
324,2023-11-20,88,6677.66,Completed
325,2023-11-21,35,1713.93,Completed
326,2023-11-22,99,5431.45,Cancelled
327,2023-11-23,71,5939.58,Cancelled
328,2023-11-24,9,2405.49,Cancelled
329,2023-11-25,80,6747.1,Cancelled
330,2023-11-26,89,2515.18,Cancelled
331,2023-11-27,15,6552.9,Cancelled
332,2023-11-28,53,5411.05,Pending
333,2023-11-29,14,1291.25,Completed
334,2023-11-30,56,8361.95,Pending
335,2023-12-01,49,1069.87,Cancelled
336,2023-12-02,84,7118.68,Pending
337,2023-12-03,29,820.83,Pending
338,2023-12-04,88,2231.64,Cancelled
339,2023-12-05,72,9595.93,Completed
340,2023-12-06,9,6876.39,Completed
341,2023-12-07,35,7620.5,Completed
342,2023-12-08,93,8852.92,Completed
343,2023-12-09,79,8556.6,Cancelled
344,2023-12-10,49,6600.95,Completed
345,2023-12-11,47,7054.36,Completed
346,2023-12-12,38,5893.22,Pending
347,2023-12-13,35,6230.25,Completed
348,2023-12-14,23,2936.11,Completed
349,2023-12-15,64,9845.98,Pending
350,2023-12-16,27,6350.47,Cancelled
351,2023-12-17,24,7588.14,Pending
352,2023-12-18,61,925.75,Cancelled
353,2023-12-19,76,453.97,Cancelled
354,2023-12-20,21,7618.76,Pending
355,2023-12-21,74,1362.24,Completed
356,2023-12-22,91,6086.69,Cancelled
357,2023-12-23,23,4452.01,Completed
358,2023-12-24,33,2956.64,Completed
359,2023-12-25,17,4198.81,Cancelled
360,2023-12-26,53,1978.9,Cancelled
361,2023-12-27,97,4259.37,Completed
362,2023-12-28,66,3337.11,Cancelled
363,2023-12-29,14,989.4,Completed
364,2023-12-30,14,9757.83,Cancelled
365,2023-12-31,97,2746.88,Completed
366,2024-01-01,7,8810.01,Completed
367,2024-01-02,50,5683.54,Cancelled
368,2024-01-03,43,2266.4,Completed
369,2024-01-04,26,3196.48,Pending
370,2024-01-05,55,932.07,Pending
371,2024-01-06,23,643.05,Cancelled
372,2024-01-07,70,2524.62,Cancelled
373,2024-01-08,11,9836.35,Pending
374,2024-01-09,47,876.44,Pending
375,2024-01-10,50,7703.68,Pending
376,2024-01-11,86,3647.76,Cancelled
377,2024-01-12,3,9341.38,Completed
378,2024-01-13,99,8292.86,Pending
379,2024-01-14,27,2277.02,Completed
380,2024-01-15,89,1632.03,Completed
381,2024-01-16,84,7487.52,Pending
382,2024-01-17,62,9504.14,Pending
383,2024-01-18,52,9930.93,Cancelled
384,2024-01-19,65,930.2,Completed
385,2024-01-20,36,3714.81,Cancelled
386,2024-01-21,57,6649.47,Cancelled
387,2024-01-22,51,1702.81,Pending
388,2024-01-23,66,8056.37,Cancelled
389,2024-01-24,85,5585.84,Cancelled
390,2024-01-25,32,9599.01,Cancelled
391,2024-01-26,41,5646.3,Cancelled
392,2024-01-27,87,3155.57,Completed
393,2024-01-28,1,3430.48,Cancelled
394,2024-01-29,51,4985.48,Pending
395,2024-01-30,100,8393.26,Completed
396,2024-01-31,19,4744.2,Pending
397,2024-02-01,48,5379.8,Pending
398,2024-02-02,1,2334.32,Cancelled
399,2024-02-03,62,2079.83,Pending
400,2024-02-04,25,4084.99,Pending
